recordID,state,cases,deaths
d100098,Massachusetts,1,0
d100099,Texas,1,0
d100100,Washington,1,0
d100101,Wisconsin,1,0
d100102,Arizona,1,0
d100103,California,7,0
d100104,Illinois,2,0
d100105,Massachusetts,1,0
d100106,Texas,2,0
d100107,Washington,1,0
d100108,Wisconsin,1,0
d100109,Arizona,1,0
d100110,California,7,0
d100111,Illinois,2,0
d100112,Massachusetts,1,0
d100113,Texas,2,0
d100114,Washington,1,0
d100115,Wisconsin,1,0
d100116,Arizona,1,0
d100117,California,7,0
d100118,Illinois,2,0
d100119,Massachusetts,1,0
d100120,Texas,2,0
d100121,Washington,1,0
d100122,Wisconsin,1,0
d100123,Arizona,1,0
d100124,California,7,0
d100125,Illinois,2,0
d100126,Massachusetts,1,0
d100127,Texas,2,0
d100128,Washington,1,0
d100129,Wisconsin,1,0
d100130,Arizona,1,0
d100131,California,7,0
d100132,Illinois,2,0
d100133,Massachusetts,1,0
d100134,Nebraska,10,0
d100135,Texas,2,0
d100136,Washington,1,0
d100137,Wisconsin,1,0
d100138,Arizona,1,0
d100139,California,7,0
d100140,Illinois,2,0
d100141,Massachusetts,1,0
d100142,Nebraska,10,0
d100143,Texas,2,0
d100144,Washington,1,0
d100145,Wisconsin,1,0
d100146,Arizona,1,0
d100147,California,7,0
d100148,Illinois,2,0
d100149,Massachusetts,1,0
d100150,Nebraska,10,0
d100151,Texas,2,0
d100152,Washington,1,0
d100153,Wisconsin,1,0
d100154,Arizona,1,0
d100155,California,8,0
d100156,Illinois,2,0
d100157,Massachusetts,1,0
d100158,Nebraska,11,0
d100159,Texas,2,0
d100160,Washington,1,0
d100161,Wisconsin,1,0
d100162,Arizona,1,0
d100163,California,9,0
d100164,Illinois,2,0
d100165,Massachusetts,1,0
d100166,Nebraska,11,0
d100167,Texas,4,0
d100168,Washington,1,0
d100169,Wisconsin,1,0
d100170,Arizona,1,0
d100171,California,9,0
d100172,Illinois,2,0
d100173,Massachusetts,1,0
d100174,Nebraska,11,0
d100175,Texas,4,0
d100176,Washington,1,0
d100177,Wisconsin,1,0
d100178,Arizona,1,0
d100179,California,9,0
d100180,Illinois,2,0
d100181,Massachusetts,1,0
d100182,Nebraska,11,0
d100183,Texas,4,0
d100184,Washington,1,0
d100185,Wisconsin,1,0
d100186,Arizona,1,0
d100187,California,11,0
d100188,Illinois,2,0
d100189,Massachusetts,1,0
d100190,Nebraska,12,0
d100191,Texas,10,0
d100192,Washington,5,0
d100193,Wisconsin,1,0
d100194,Arizona,1,0
d100195,California,11,0
d100196,Illinois,2,0
d100197,Massachusetts,1,0
d100198,Nebraska,13,0
d100199,Texas,10,0
d100200,Utah,1,0
d100201,Washington,5,0
d100202,Wisconsin,1,0
d100203,Arizona,1,0
d100204,California,26,0
d100205,Illinois,2,0
d100206,Massachusetts,1,0
d100207,Nebraska,13,0
d100208,Texas,10,0
d100209,Utah,1,0
d100210,Washington,5,0
d100211,Wisconsin,1,0
d100212,Arizona,1,0
d100213,California,26,0
d100214,Illinois,2,0
d100215,Massachusetts,1,0
d100216,Nebraska,13,0
d100217,Texas,10,0
d100218,Utah,1,0
d100219,Washington,5,0
